Pacific Island Countries and territories;ELEVATION;Elevation;TIME_PERIOD;OBS_VALUE;Island highest elevation
American Samoa;10M;0-10 meters above sea level;2024;25;966
American Samoa;5M;0-5 meters above sea level;2024;11;966
American Samoa;20M;0-20 meters above sea level;2024;42;966
Cook Islands;10M;0-10 meters above sea level;2024;31;652
Cook Islands;20M;0-20 meters above sea level;2024;73;652
Cook Islands;5M;0-5 meters above sea level;2024;7;652
Fiji;10M;0-10 meters above sea level;2024;28;1324
Fiji;5M;0-5 meters above sea level;2024;9;1324
Fiji;20M;0-20 meters above sea level;2024;49;1324
French Polynesia;5M;0-5 meters above sea level;2024;30;2241
French Polynesia;10M;0-10 meters above sea level;2024;55;2241
French Polynesia;20M;0-20 meters above sea level;2024;74;2241
Guam;10M;0-10 meters above sea level;2024;4;406
Guam;20M;0-20 meters above sea level;2024;9;406
Kiribati;20M;0-20 meters above sea level;2024;99;81
Kiribati;5M;0-5 meters above sea level;2024;24;81
Kiribati;10M;0-10 meters above sea level;2024;74;81
Marshall Islands;20M;0-20 meters above sea level;2024;100;10
Marshall Islands;5M;0-5 meters above sea level;2024;61;10
Marshall Islands;10M;0-10 meters above sea level;2024;96;10
Micronesia (Federated States of);5M;0-5 meters above sea level;2024;22;780
Micronesia (Federated States of);10M;0-10 meters above sea level;2024;40;780
Micronesia (Federated States of);20M;0-20 meters above sea level;2024;60;780
Nauru;20M;0-20 meters above sea level;2024;84;65
Nauru;5M;0-5 meters above sea level;2024;30;65
Nauru;10M;0-10 meters above sea level;2024;76;65
New Caledonia;5M;0-5 meters above sea level;2024;12;1628
New Caledonia;10M;0-10 meters above sea level;2024;31;1628
New Caledonia;20M;0-20 meters above sea level;2024;56;1628
Niue;10M;0-10 meters above sea level;2024;1;69
Niue;20M;0-20 meters above sea level;2024;3;69
Northern Mariana Islands;10M;0-10 meters above sea level;2024;28;965
Northern Mariana Islands;20M;0-20 meters above sea level;2024;43;965
Palau;5M;0-5 meters above sea level;2024;8;242
Palau;10M;0-10 meters above sea level;2024;17;242
Palau;20M;0-20 meters above sea level;2024;48;242
Papua New Guinea;10M;0-10 meters above sea level;2024;10;4884
Papua New Guinea;20M;0-20 meters above sea level;2024;17;4884
Pitcairn;10M;0-10 meters above sea level;2024;0;347
Pitcairn;20M;0-20 meters above sea level;2024;0;347
Samoa;5M;0-5 meters above sea level;2024;5;1858
Samoa;10M;0-10 meters above sea level;2024;13;1858
Samoa;20M;0-20 meters above sea level;2024;37;1858
Solomon Islands;5M;0-5 meters above sea level;2024;19;2332
Solomon Islands;20M;0-20 meters above sea level;2024;54;2332
Solomon Islands;10M;0-10 meters above sea level;2024;33;2332
Tokelau;10M;0-10 meters above sea level;2024;0;5
Tokelau;20M;0-20 meters above sea level;2024;0;5
Tonga;20M;0-20 meters above sea level;2024;77;1030
Tonga;5M;0-5 meters above sea level;2024;3;1030
Tonga;10M;0-10 meters above sea level;2024;27;1030
Tuvalu;5M;0-5 meters above sea level;2024;41;5
Tuvalu;20M;0-20 meters above sea level;2024;98;5
Tuvalu;10M;0-10 meters above sea level;2024;91;5
Vanuatu;20M;0-20 meters above sea level;2024;31;1879
Vanuatu;10M;0-10 meters above sea level;2024;12;1879
Wallis and Futuna;20M;0-20 meters above sea level;2024;63;524
Wallis and Futuna;5M;0-5 meters above sea level;2024;15;524
Wallis and Futuna;10M;0-10 meters above sea level;2024;38;524
;;;;;
