Region;Site;Reference;Indicator;Latitude (°N);Longitude (°E);RSL (m);RSL +1s;RSL -1s;Age (CE);Age +2s;Age -2s
North Carolina, USA;Wilmington;"Cinquemani et al. (1982); Compiled in Horton et al. (2009)";plants;34,100;-78,000;-3,03;0,30;0,30;-1694;257;257
Massachusetts, USA;Barnstable;"Redfield and Rubin (1962); Compiled in Englehart and Horton (2012)";plants;41,710;-70,370;-6,04;0,67;0,67;-1440;1106;1106
Massachusetts, USA;Barnstable;"Redfield and Rubin (1962); Compiled in Englehart and Horton (2012)";plants;41,710;-70,370;-5,12;0,67;0,67;-1313;794;794
Massachusetts, USA;Revere;Donnelly (2006);plants;42,431;-71,008;-2,57;0,07;0,07;-1310;104;104
Rio de Janeiro, Brazil;Buzios;Martin and Suguio (1978);vermetid;-22,733;-41,850;2,10;0,40;0,40;-1303;445;445
Rio de Janeiro, Brazil;Buzios;Martin and Suguio (1978);vermetid;-22,767;-41,883;1,80;0,40;0,40;-1234;427;427
South Africa;Langebaan;Compton (2001);sediment;-33,140;18,060;0,25;0,38;0,38;-1197;174;174
Connecticut, USA;Indian River;"Cinquemani et al. (1982); Compiled in Englehart and Horton (2012)";plants;41,200;-73,000;-3,20;0,49;0,49;-1174;248;248
Massachusetts, USA;Revere;Donnelly (2006);plants;42,431;-71,008;-2,25;0,08;0,08;-1158;161;161
Rio de Janeiro, Brazil;Mangaratiba;Martin and Suguio (1978);vermetid;-22,967;-44,033;1,70;0,40;0,40;-1123;258;258
Spain;Bilbao;Leorri et al. (2012);foraminifera;43,420;-2,950;-2,19;0,32;0,32;-1075;175;175
Spain;Bilbao;Leorri et al. (2012);foraminifera;43,420;-2,950;-3,00;0,80;0,80;-1073;83;83
Christmas Island, Kiribati;Multiple;"McGregor et al. (2011); Compiled in Woodroffe et al. (2012)";coral microatoll;1,980;-157,500;-0,23;0,10;0,05;-1050;220;219
Christmas Island, Kiribati;Multiple;"McGregor et al. (2011); Compiled in Woodroffe et al. (2012)";coral microatoll;1,980;-157,500;0,00;0,10;0,05;-1035;188;202
Massachusetts, USA;Barnstable;"Redfield and Rubin (1962); Compiled in Englehart and Horton (2012)";plants;41,700;-70,360;-3,61;0,67;0,67;-998;608;608
Christmas Island, Kiribati;Multiple;Woodroffe et al. (2012);coral microatoll;1,980;-157,500;-0,18;0,10;0,05;-986;166;181
Connecticut, USA;Branford;"van de Plassche et al. (2002); Compiled in Englehart and Horton (2012)";plants;41,250;-72,860;-3,08;0,23;0,23;-957;111;111
Christmas Island, Kiribati;Multiple;Woodroffe et al. (2012);coral microatoll;1,980;-157,500;-0,14;0,10;0,05;-887;160;125
